combo_id,filter_combo,factor_combo,ic_mean,ic_ir,ic_positive_ratio,long_short_return,long_short_sharpe,max_drawdown,win_rate,total_score
8156,"min_volume,price_range,exclude_bse","{'ma5_slope': 0.4, 'macd': 0.3, 'v_ratio10': 0.3}",-0.03206555040632637,-0.1218363662576107,0.4292929292929293,0.33964712215979415,0.7269218461235818,-0.2054804894732634,0.5,0.40545605442323546
29717,"min_volume,price_range,exclude_bse","{'cost_peak': 0.5, 'v_ratio10': 0.3, 'ma5_bias': 0.2}",-0.007511232120295627,-0.028665322118991667,0.49230769230769234,0.804803082467588,1.7997670793712668,-0.1446406663334062,0.5,0.5546954101878513
8219,"min_volume,price_range,exclude_bse","{'ma5_bias': -0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",-0.02677227569515828,-0.1119885329476064,0.441025641025641,-0.2426738084843227,-0.6240012284147243,-0.33517614428952136,0.5,0.08959082635808513
64796,"min_volume,price_range,exclude_bse","{'rsi': -0.3, 'macd': -0.3, 'bollinger': 0.4}",-0.0006283069769317175,-0.0023240804570100657,0.494949494949495,0.4493566783735397,1.107801378470306,-0.24223481346349537,0.5,0.40150847141559737
4809,"min_volume,price_range,exclude_kcb,exclude_bse","{'ma5_bias': 0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",-0.02115260448451271,-0.06685220896045989,0.45161290322580644,2.8865132489670744,6.105035374982742,-0.0075535742929477845,0.5,0.6509639090707185
79226,"min_volume,price_range,exclude_kcb,exclude_bse","{'ma5_bias': 0.3, 'ma5_slope': 0.3, 'v_ratio10': 0.2, 'cost_peak': 0.2}",-0.03874932780608981,-0.12262445729923097,0.46774193548387094,2.9367989704202384,4.6346332390909755,-0.0319712368540277,0.5,0.6874424868880422
21830,"min_volume,price_range,exclude_kcb,exclude_bse","{'rsi': 0.3, 'macd': 0.3, 'bollinger': 0.2, 'atr': 0.2}",-0.0046552597859983785,-0.014183113730364082,0.5161290322580645,2.262673177902952,5.016158947819177,0.0,0.5,0.6113464909842913
53287,"min_volume,price_range,exclude_kcb,exclude_bse","{'ma5_bias': 0.25, 'rsi': 0.25, 'v_ratio10': 0.25, 'cost_peak': 0.25}",0.015527573039372461,0.051834558303619445,0.5967741935483871,5.1956662646089535,12.511535311937054,-0.013323943195069474,0.5,0.6370263322445391
59542,"min_volume,price_range,exclude_kcb,exclude_bse","{'ma5_slope': 0.4, 'macd': 0.3, 'v_ratio10': 0.3}",-0.028698095287319144,-0.09499472780869726,0.45161290322580644,-0.04760536331663346,-0.11099838967491693,-0.0015303869653320095,0.5,0.1754856532585138
86377,"min_volume,price_range,exclude_kcb,exclude_bse","{'cost_peak': 0.5, 'v_ratio10': 0.3, 'ma5_bias': 0.2}",0.0037642118559693735,0.013332719816402078,0.5161290322580645,3.0910306497381534,6.152075253614765,-0.009450229292277148,0.5,0.6075160994223626
83932,"min_volume,price_range,exclude_kcb,exclude_bse","{'ma5_bias': -0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",0.02019793910509981,0.06073659103466358,0.5161290322580645,0.758981380768657,1.4638476816920165,-0.05171340782183046,0.5,0.5777362383896557
13721,"min_volume,price_range,exclude_kcb,exclude_bse","{'rsi': -0.3, 'macd': -0.3, 'bollinger': 0.4}",-0.0007105970836286382,-0.0021255446726004346,0.5,-1.172983868453818,-2.0679149165432675,0.0,0.5,0.10170043573808035
22525,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'ma5_bias': 0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",0.0098130191585629,0.027175064528260212,0.5227272727272727,6.479730161876004,12.170827713409787,0.0,0.5,0.6217400516226081
6895,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'ma5_bias': 0.3, 'ma5_slope': 0.3, 'v_ratio10': 0.2, 'cost_peak': 0.2}",-0.0032598543824236196,-0.009224277822557178,0.5454545454545454,10.345509608728552,18.818396237934923,0.0,0.5,0.6073794222580456
89765,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'rsi': 0.3, 'macd': 0.3, 'bollinger': 0.2, 'atr': 0.2}",0.057780638011133575,0.15763734749388317,0.5681818181818182,12.271279026542027,1135.3777869115415,0.0,0.5,0.7261098779951065
34197,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'ma5_bias': 0.25, 'rsi': 0.25, 'v_ratio10': 0.25, 'cost_peak': 0.25}",0.047256042023181906,0.1424436293625538,0.6363636363636364,11.007891903046877,44.53911735981998,0.0,0.5,0.7139549034900431
71171,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'ma5_slope': 0.4, 'macd': 0.3, 'v_ratio10': 0.3}",-0.005409334896731921,-0.015085742806919511,0.5227272727272727,12.242215321782416,45.28323754512334,0.0,0.5,0.6120685942455356
74270,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'cost_peak': 0.5, 'v_ratio10': 0.3, 'ma5_bias': 0.2}",0.035939035948497615,0.10965874182181075,0.5909090909090909,5.942730519179866,10.49532803966188,0.0,0.5,0.6877269934574486
83017,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'ma5_bias': -0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",0.020083950985076402,0.05553597194911388,0.5,-6.66958849193031,-16.641507143749273,-0.0012198341776165213,0.5,0.14402216616675229
90491,"min_volume,price_range,exclude_kcb,exclude_bse,exclude_cyb","{'rsi': -0.3, 'macd': -0.3, 'bollinger': 0.4}",0.0030798850861408628,0.009754229868630915,0.4772727272727273,-10.388923366222805,-34.32673201694583,-0.022160842337135854,0.5,0.10041643644919278
22405,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'ma5_bias': 0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",-0.021152604484512706,-0.06685220896045987,0.45161290322580644,2.8865132489670744,6.105035374982742,-0.025976240040867113,0.5,0.6448230204880788
36494,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'ma5_bias': 0.3, 'ma5_slope': 0.3, 'v_ratio10': 0.2, 'cost_peak': 0.2}",-0.03874932780608982,-0.122624457299231,0.46774193548387094,2.9367989704202384,4.6346332390909755,-0.03928331403416127,0.5,0.6850051278279977
80012,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'rsi': 0.3, 'macd': 0.3, 'bollinger': 0.2, 'atr': 0.2}",-0.004655259785998385,-0.014183113730364098,0.5161290322580645,2.262673177902952,5.016158947819177,-0.034347364802966955,0.5,0.5998973693833023
26924,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'ma5_bias': 0.25, 'rsi': 0.25, 'v_ratio10': 0.25, 'cost_peak': 0.25}",0.01552757303937246,0.05183455830361944,0.5967741935483871,5.1956662646089535,12.511535311937054,-0.013323943195069602,0.5,0.6370263322445391
55460,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'ma5_slope': 0.4, 'macd': 0.3, 'v_ratio10': 0.3}",-0.02869809528731915,-0.09499472780869729,0.45161290322580644,-0.04760536331663346,-0.11099838967491693,-0.04384149023444266,0.5,0.1613819521688103
35463,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'cost_peak': 0.5, 'v_ratio10': 0.3, 'ma5_bias': 0.2}",0.0037642118559693834,0.01333271981640211,0.5161290322580645,3.0910306497381534,6.1520752536147665,-0.022824783781262792,0.5,0.6030579145927008
87102,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'ma5_bias': -0.4, 'v_ratio10': 0.3, 'cost_peak': 0.3}",0.02019793910509982,0.06073659103466361,0.5161290322580645,0.758981380768657,1.4638476816920165,0.0,0.5,0.5949740409969325
54221,"min_volume,price_range,exclude_kcb,exclude_bse,turnover_rate","{'rsi': -0.3, 'macd': -0.3, 'bollinger': 0.4}",-0.0007105970836286318,-0.002125544672600415,0.5,-1.172983868453818,-2.0679149165432675,-0.060290930410664224,0.5,0.0816034589345256
