weights,ic_mean,ic_ir,long_short_return,sharpe_ratio,max_drawdown,win_rate
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -1, 'cost_peak': -1}",0.03515029899076151,0.2540671632024581,-0.26944721769423985,-1.4635553366021758,-0.247532380636036,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -1, 'cost_peak': -0.5}",0.03245444733980214,0.24999879384993465,-0.24715563298115714,-1.386604200838612,-0.2704560194477674,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -1, 'cost_peak': 0}",0.02437034786987226,0.20298820543556778,-0.23212788028351686,-1.3203092673566008,-0.2750855950710736,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -1, 'cost_peak': 0.5}",0.015465004599925726,0.1290062742863977,-0.12432366337441957,-0.7568853605781314,-0.26429989640463153,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -1, 'cost_peak': 1}",0.006802027403040942,0.053076490587890136,-0.12347081423191843,-0.7405204406647794,-0.21969767593103884,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -0.5, 'cost_peak': -1}",0.03279876467319922,0.22651953039282002,-0.3534693392467463,-1.902636423667135,-0.338936082254556,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -0.5, 'cost_peak': -0.5}",0.02953861843387756,0.21428699327714693,-0.30709161132706275,-1.7391947520213191,-0.2876093509464485,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -0.5, 'cost_peak': 0}",0.02113235965953557,0.16627789311800312,-0.29680203178814457,-1.750034514777512,-0.24450417650038925,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -0.5, 'cost_peak': 0.5}",0.008448499995314112,0.06738837056857819,-0.2476666840249889,-1.568978334242414,-0.29027172858018097,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': -0.5, 'cost_peak': 1}",-0.004962875387323491,-0.037214974851435545,-0.24097248645854105,-1.449595848357703,-0.21436837184394045,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0, 'cost_peak': -1}",0.028685198586014333,0.18969291532973495,-0.3724144005844869,-1.9912619647465084,-0.3587303137167607,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0, 'cost_peak': -0.5}",0.023992819858866435,0.16245703157035632,-0.42537447103734916,-2.355890449488128,-0.34331601306313503,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0, 'cost_peak': 0}",0.01596424109677208,0.11284407839925106,-0.37762488664943256,-2.1927581401281446,-0.30642613016171677,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0, 'cost_peak': 0.5}",-0.0065789653742991516,-0.04875182558787948,-0.28161650722050974,-1.745688736592595,-0.26480836142110925,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0, 'cost_peak': 1}",-0.022922298674550604,-0.16206853215885192,-0.22333793666049157,-1.2743041127982124,-0.2669172645632505,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0.5, 'cost_peak': -1}",0.017833400982792857,0.11787141686313508,-0.42268222567015706,-2.2183356737264686,-0.30427492019624947,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0.5, 'cost_peak': -0.5}",0.008713880638993903,0.05967260871900224,-0.45939644574165317,-2.5562245134301307,-0.32030691208771933,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0.5, 'cost_peak': 0}",-0.01173761576573789,-0.08828498274312128,-0.5243678273615923,-3.1336557654995967,-0.35232363119754295,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0.5, 'cost_peak': 0.5}",-0.03467819439344041,-0.2525403523150177,-0.5432003954875275,-3.015609639910003,-0.3831569332052794,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 0.5, 'cost_peak': 1}",-0.04042712656430857,-0.2786969387529453,-0.43462472910661565,-2.338028388072397,-0.3215523669002018,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 1, 'cost_peak': -1}",0.0030142175295814247,0.02103247862252126,-0.42683363491129134,-2.413935463781818,-0.33157222910959966,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 1, 'cost_peak': -0.5}",-0.009804840648942435,-0.07219810913975014,-0.44357979594143343,-2.544832219114042,-0.36926687571327377,0.5
"{'ma5_bias': -1, 'ma5_slope': 1, 'v_ratio10': 1, 'cost_peak': 0}",-0.027876167464573026,-0.22339452469879184,-0.5292920784488367,-3.2053934050699593,-0.39854425186292,0.5
