code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
002761,浙江建投,8.39,-1.64,13034046,83.0,S,75,50,100.0,45.8,-1.41,2.57,-2.89,0.45,"偏多趋势,量价齐升,MACD金叉"
002551,尚荣医疗,3.8,0.0,10253686,83.0,S,75,50,100.0,48.9,1.33,4.97,-2.56,0.56,"偏多趋势,量价齐升,MACD金叉"
601528,瑞丰银行,5.64,0.71,20863490,83.0,S,75,100,85.0,66.7,1.44,3.49,0.89,0.76,"偏多趋势,强势上涨(3日+1.4%),放量上涨"
600805,悦达投资,5.79,2.66,34413149,83.0,S,75,100,85.0,54.4,4.32,5.27,1.22,0.78,"偏多趋势,强势上涨(3日+4.3%),放量上涨"
603858,步长制药,16.99,0.35,4796160,83.0,S,75,100,100.0,51.5,0.77,2.04,-2.19,0.67,"偏多趋势,强势上涨(3日+0.8%),MACD金叉"
002646,天佑德酒,8.62,0.94,5489541,83.0,S,40,100,82.5,40.5,0.82,1.29,-6.61,0.21,"强势上涨(3日+0.8%),量价齐升,KDJ金叉"
603367,辰欣药业,17.0,-0.53,3736600,83.0,S,75,50,100.0,44.7,-0.53,2.53,-2.86,0.27,"偏多趋势,缩量回调,MACD金叉"
300595,欧普康视,15.91,1.66,10138265,83.0,S,75,100,85.0,56.4,3.51,2.51,-0.06,0.62,"偏多趋势,强势上涨(3日+3.5%),放量上涨"
000788,北大医药,6.06,-0.33,10293500,83.0,S,75,50,100.0,47.4,-0.66,2.68,-2.13,0.25,"偏多趋势,缩量回调,MACD金叉"
600488,津药药业,4.21,-0.24,6228092,83.0,S,75,100,100.0,49.1,0.48,1.45,-1.64,0.62,"偏多趋势,强势上涨(3日+0.5%),MACD金叉"
002775,文科股份,4.43,-0.67,9685200,83.0,S,75,50,100.0,47.1,-0.45,5.98,-0.45,0.52,"偏多趋势,量价齐升,MACD金叉"
002543,万和电气,9.5,-2.96,33691167,83.0,S,75,100,85.0,54.3,6.74,6.03,0.85,0.45,"偏多趋势,强势上涨(3日+6.7%),MACD金叉"
688089,嘉必优,20.1,1.06,3539829,83.0,S,75,100,85.0,53.9,1.52,6.63,3.18,0.31,"偏多趋势,强势上涨(3日+1.5%),放量上涨"
600939,重庆建工,3.2,-3.03,28237500,83.0,S,75,50,85.0,46.4,-2.14,0.95,-0.62,0.16,"偏多趋势,量价齐升,MACD金叉"
001298,好上好,31.5,2.47,8650209,83.0,S,75,100,85.0,51.6,3.38,8.17,2.57,0.52,"偏多趋势,强势上涨(3日+3.4%),MACD金叉"
300284,苏交科,7.22,-0.82,8788213,83.0,S,75,50,85.0,50.0,-2.04,1.69,-2.3,0.11,"偏多趋势,量价齐升,MACD金叉"
600212,绿能慧充,7.76,2.37,14733907,83.0,S,75,100,92.5,49.3,0.65,7.03,0.13,0.38,"偏多趋势,强势上涨(3日+0.6%),缩量回调"
000777,中核科技,26.7,-0.52,38773487,82.8,S,100,100,85.0,58.5,6.37,11.3,5.66,0.61,"多头排列,强势上涨(3日+6.4%),缩量回调"
300879,大叶股份,24.49,-3.09,7747170,82.8,S,40,100,100.0,46.1,2.81,6.2,-3.58,0.22,"强势上涨(3日+2.8%),量价齐升,MACD金叉"
000911,广农糖业,7.13,0.71,14064101,82.8,S,100,50,92.5,63.0,0.85,2.3,5.16,0.41,"多头排列,量价齐升,MACD金叉"
301096,百诚医药,51.48,-1.55,1996818,82.8,S,100,50,92.5,59.6,0.57,17.29,4.0,0.46,"多头排列,量价齐升,MACD金叉"
300585,奥联电子,16.67,1.4,4053200,82.8,S,40,100,100.0,51.1,1.09,7.13,-8.36,0.16,"强势上涨(3日+1.1%),量价齐升,MACD金叉"
300765,新诺威,32.0,6.7,14027997,82.8,S,40,100,100.0,44.4,4.85,6.56,-8.44,0.19,"强势上涨(3日+4.8%),量价齐升,MACD金叉"
000546,金圆股份,6.12,-3.92,39019200,82.8,S,100,50,100.0,54.3,-1.92,0.33,5.52,0.21,"多头排列,MACD金叉,KDJ金叉"
601166,兴业银行,18.83,0.0,71595899,82.8,S,100,100,85.0,64.0,0.11,2.11,-0.26,0.29,"多头排列,强势上涨(3日+0.1%),MACD金叉"
600135,乐凯胶片,10.44,-1.79,33647075,82.8,S,100,50,92.5,59.4,-6.95,19.18,4.5,0.44,"多头排列,量价齐升,MACD金叉"
603218,日月股份,15.82,-4.98,61648353,82.8,S,100,100,70.0,69.5,2.26,14.97,13.98,0.79,"多头排列,强势上涨(3日+2.3%),量价齐升"
000661,长春高新,91.24,1.38,4299935,82.8,S,40,100,100.0,55.5,1.18,1.46,0.96,0.24,"强势上涨(3日+1.2%),量价齐升,MACD金叉"
002987,京北方,18.39,4.07,22916175,82.8,S,40,100,100.0,44.1,0.66,2.17,-7.03,0.19,"强势上涨(3日+0.7%),量价齐升,MACD金叉"
002179,中航光电,35.36,-0.56,34063717,82.8,S,100,80,85.0,52.2,-6.41,1.23,1.61,0.37,"多头排列,趋势向上,量价齐升"
603690,至纯科技,27.25,3.42,12335644,82.8,S,40,100,100.0,42.4,2.79,0.7,-2.54,0.12,"强势上涨(3日+2.8%),量价齐升,MACD金叉"
688349,三一重能,28.27,-2.69,14456736,82.8,S,100,80,85.0,63.1,-5.61,8.11,3.33,0.65,"多头排列,趋势向上,量价齐升"
300587,天铁科技,6.53,-0.61,20211315,82.8,S,100,50,92.5,47.8,-1.8,5.32,7.93,0.48,"多头排列,量价齐升,MACD金叉"
300430,诚益通,20.8,-0.48,14105140,82.8,S,40,100,100.0,42.1,1.66,5.16,-5.37,0.29,"强势上涨(3日+1.7%),量价齐升,MACD金叉"
300057,万顺新材,6.42,1.74,33950736,82.8,S,100,100,92.5,61.8,0.31,6.47,7.0,0.84,"多头排列,强势上涨(3日+0.3%),量价齐升"
600103,青山纸业,3.73,2.47,72853778,82.8,S,40,100,100.0,47.0,1.08,1.36,-2.36,0.12,"强势上涨(3日+1.1%),量价齐升,MACD金叉"
301010,晶雪节能,23.31,-0.47,3504575,82.2,S,75,100,92.5,51.1,3.05,12.39,-0.77,0.37,"偏多趋势,强势上涨(3日+3.1%),量价齐升"
300834,星辉环材,25.68,-0.16,1879676,82.2,S,75,100,92.5,54.1,0.67,9.32,-2.73,0.8,"偏多趋势,强势上涨(3日+0.7%),量价齐升"
688656,浩欧博,141.02,2.16,247968,82.2,S,75,50,100.0,53.2,1.23,1.45,-0.9,0.09,"偏多趋势,量价齐升,MACD金叉"
301421,波长光电,95.1,2.87,3806696,82.2,S,75,50,100.0,46.7,1.5,5.7,-0.48,0.25,"偏多趋势,量价齐升,MACD金叉"
603366,日出东方,10.08,-2.33,120055804,82.2,S,75,100,85.0,56.8,7.46,7.01,2.02,0.59,"偏多趋势,强势上涨(3日+7.5%),放量上涨"
603029,天鹅股份,20.33,-5.88,14422210,82.2,S,75,100,92.5,49.1,3.51,5.78,-0.68,0.67,"偏多趋势,强势上涨(3日+3.5%),量价齐升"
002607,中公教育,2.88,-1.37,140937517,82.2,S,75,80,92.5,55.2,-0.69,5.49,0.0,0.44,"偏多趋势,趋势向上,量价齐升"
301160,翔楼新材,65.36,0.69,2188456,82.2,S,75,50,100.0,49.3,0.28,2.75,3.84,0.17,"偏多趋势,量价齐升,MACD金叉"
301345,涛涛车业,205.5,-1.67,610693,82.2,S,75,50,100.0,46.5,-2.9,0.84,-6.34,0.17,"偏多趋势,量价齐升,MACD金叉"
300261,雅本化学,7.32,0.0,36593154,82.2,S,75,100,92.5,54.5,0.83,7.17,-2.4,0.7,"偏多趋势,强势上涨(3日+0.8%),量价齐升"
002285,世联行,3.1,3.68,83321425,82.2,S,75,100,85.0,59.0,7.27,15.67,8.01,0.59,"偏多趋势,强势上涨(3日+7.3%),放量上涨"
601818,光大银行,3.31,-0.6,241249400,82.2,S,75,80,92.5,55.2,-0.6,1.53,-0.6,0.43,"偏多趋势,趋势向上,量价齐升"
000001,平安银行,10.92,-0.09,71560301,82.2,S,75,80,100.0,50.7,-0.18,0.37,-1.36,0.22,"偏多趋势,趋势向上,MACD金叉"
688697,纽威数控,15.82,-1.86,5665845,82.2,S,75,80,92.5,52.5,-2.65,4.49,2.66,0.55,"偏多趋势,趋势向上,量价齐升"
000045,深纺织Ａ,13.16,1.54,8682200,82.2,S,75,100,92.5,49.9,0.15,7.52,1.62,0.76,"偏多趋势,强势上涨(3日+0.2%),量价齐升"
