code,name,price,change_pct,volume,enhanced_score,grade,trend,momentum,tech,rsi,momentum_3d,momentum_10d,momentum_20d,position,reasons
300959,线上线下,85.0,5.45,3809159,78.2,A,40,100,100.0,41.0,5.49,5.42,-9.34,0.09,"强势上涨(3日+5.5%),MACD金叉,KDJ金叉"
600371,万向德农,9.9,4.65,24024996,78.2,A,100,100,70.0,64.6,3.56,3.34,6.34,0.76,"多头排列,强势上涨(3日+3.6%),MACD金叉"
600935,华塑股份,3.19,-1.85,152121596,78.2,A,100,80,85.0,65.5,-3.63,13.12,12.72,0.87,"多头排列,趋势向上,量价齐升"
600158,中体产业,11.02,1.47,56867992,78.2,A,100,80,85.0,64.3,-1.17,6.58,11.2,0.95,"多头排列,趋势向上,量价齐升"
603871,嘉友国际,15.32,-0.84,11025540,78.2,A,100,50,85.0,57.9,-5.14,-1.16,9.43,0.77,"多头排列,量价齐升,MACD金叉"
688238,和元生物,7.5,-1.06,12714863,78.2,A,100,50,85.0,54.5,-2.85,9.01,2.46,0.71,"多头排列,量价齐升,MACD金叉"
601916,浙商银行,3.1,0.0,140724780,78.2,A,100,100,77.5,74.1,0.32,3.33,4.38,1.0,"多头排列,强势上涨(3日+0.3%),放量上涨"
600563,法拉电子,118.41,0.48,3736438,78.2,A,100,80,92.5,57.7,-2.18,3.01,12.15,0.87,"多头排列,趋势向上,放量上涨"
603949,雪龙集团,22.86,3.44,12878440,78.2,A,100,100,77.5,70.3,7.73,28.57,16.75,0.99,"多头排列,强势上涨(3日+7.7%),放量上涨"
002831,裕同科技,38.02,10.01,37437711,78.2,A,100,100,77.5,76.4,11.33,20.01,24.94,1.0,"多头排列,强势上涨(3日+11.3%),放量上涨"
605303,园林股份,18.5,7.25,7456500,78.2,A,40,100,92.5,44.8,6.14,9.21,0.6,0.47,"强势上涨(3日+6.1%),量价齐升,MACD金叉"
002157,正邦科技,3.39,1.5,209749022,78.2,A,100,80,70.0,64.6,-2.87,7.62,6.27,0.48,"多头排列,趋势向上,MACD金叉"
000860,顺鑫农业,14.25,0.85,10461266,78.2,A,40,100,100.0,43.9,1.28,0.71,-3.85,0.17,"强势上涨(3日+1.3%),MACD金叉,KDJ金叉"
601908,京运通,4.24,1.68,100480800,78.2,A,100,80,85.0,66.0,-0.24,7.61,1.19,0.91,"多头排列,趋势向上,量价齐升"
000570,苏常柴Ａ,6.05,-0.82,16329200,78.2,A,100,50,85.0,50.7,-2.42,3.95,-0.66,0.7,"多头排列,量价齐升,MACD金叉"
603527,众源新材,12.54,1.05,29036566,78.2,A,100,100,77.5,70.6,1.21,17.31,14.73,1.0,"多头排列,强势上涨(3日+1.2%),放量上涨"
600578,京能电力,5.38,-4.95,69912997,78.2,A,100,50,85.0,55.1,-8.66,-1.82,2.87,0.61,"多头排列,量价齐升,MACD金叉"
605222,起帆电缆,23.06,0.0,27124642,78.2,A,100,100,85.0,61.4,10.02,10.39,8.57,1.0,"多头排列,强势上涨(3日+10.0%),缩量回调"
600137,浪莎股份,22.88,0.09,3533500,78.2,A,100,100,92.5,56.2,0.22,10.42,2.14,1.0,"多头排列,强势上涨(3日+0.2%),MACD金叉"
000552,甘肃能化,2.81,-1.06,129877000,78.2,A,100,80,85.0,69.3,-1.4,5.24,13.77,0.93,"多头排列,趋势向上,量价齐升"
300664,鹏鹞环保,6.2,-2.36,37461389,78.2,A,100,100,70.0,65.8,0.49,5.98,7.83,0.85,"多头排列,强势上涨(3日+0.5%),量价齐升"
300782,卓胜微,80.13,0.68,7812446,78.2,A,100,50,85.0,58.7,-2.19,2.73,5.87,0.7,"多头排列,量价齐升,MACD金叉"
600732,爱旭股份,14.88,-2.11,39027948,78.2,A,100,50,85.0,57.6,-4.74,2.13,-1.06,0.75,"多头排列,量价齐升,MACD金叉"
300690,双一科技,38.69,0.99,32979165,78.2,A,100,100,77.5,77.4,3.45,30.62,22.9,1.0,"多头排列,强势上涨(3日+3.4%),放量上涨"
688612,威迈斯,29.36,1.63,3711905,78.2,A,40,100,100.0,41.9,1.77,0.96,-5.81,0.22,"强势上涨(3日+1.8%),MACD金叉,KDJ金叉"
301327,华宝新能,61.87,-1.28,4433811,78.2,A,100,80,77.5,63.6,-5.61,5.54,6.67,0.68,"多头排列,趋势向上,缩量回调"
300709,精研科技,42.72,-0.14,5338417,78.2,A,100,50,85.0,50.2,-1.77,2.05,8.23,0.37,"多头排列,量价齐升,MACD金叉"
688267,中触媒,30.78,-0.55,4040685,78.2,A,100,80,85.0,61.4,-1.09,5.12,6.14,0.74,"多头排列,趋势向上,MACD金叉"
600746,江苏索普,9.16,-1.08,68440003,78.2,A,100,100,77.5,71.5,8.79,11.44,17.74,0.96,"多头排列,强势上涨(3日+8.8%),放量上涨"
600694,大商股份,17.7,0.0,1822983,78.2,A,40,100,100.0,44.5,0.45,0.8,-3.86,0.16,"强势上涨(3日+0.5%),MACD金叉,KDJ金叉"
